"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"AS-Entry-Bivariate"
"04/12/2020 13:09:41:996 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"3","0.5","10","10","1","0","10","0.5","0","1000","0.06775956284153005","0.18032786885245902","0.10764587525150905"
"12","0.5","10","10","1","0","10","0.5","20","1000","0.10200364298724955","0.22404371584699453","0.17002012072434608"
"4","0.5","10","10","1","0","10","0.5","0","1000","0.09034608378870675","0.19526411657559198","0.13883299798792756"
"8","0.5","10","10","1","0","10","0.5","10","1000","0.07868852459016394","0.18579234972677597","0.13329979879275655"
"11","0.5","10","10","1","0","10","0.5","20","1000","0.08415300546448087","0.2174863387978142","0.14537223340040242"
"6","0.5","10","10","1","0","10","0.5","10","1000","0.06630236794171221","0.17085610200364298","0.12122736418511067"
"9","0.5","10","10","1","0","10","0.5","10","1000","0.10273224043715846","0.1989071038251366","0.15241448692152917"
"5","0.5","10","10","1","0","10","0.5","0","1000","0.04735883424408015","0.14171220400728599","0.08249496981891348"
"10","0.5","10","10","1","0","10","0.5","10","1000","0.07577413479052823","0.20655737704918034","0.13078470824949698"
"7","0.5","10","10","1","0","10","0.5","10","1000","0.0750455373406193","0.1901639344262295","0.13682092555331993"
"2","0.5","10","10","1","0","10","0.5","0","1000","0.0692167577413479","0.15045537340619308","0.08501006036217304"
"1","0.5","10","10","1","0","10","0.5","0","1000","0.05792349726775956","0.17231329690346084","0.08551307847082495"
"16","0.5","10","10","1","0","10","0.5","30","1000","0.1737704918032787","0.22877959927140254","0.2977867203219316"
"13","0.5","10","10","1","0","10","0.5","20","1000","0.08597449908925318","0.19599271402550092","0.16549295774647887"
"14","0.5","10","10","1","0","10","0.5","20","1000","0.07030965391621129","0.175591985428051","0.12022132796780684"
"19","0.5","10","10","1","0","10","0.5","30","1000","0.05391621129326048","0.19271402550091074","0.11016096579476861"
"15","0.5","10","10","1","0","10","0.5","20","1000","0.10965391621129326","0.19162112932604736","0.1851106639839034"
"21","0.5","10","10","1","0","10","0.5","40","1000","0.13296903460837886","0.21712204007285973","0.2193158953722334"
"17","0.5","10","10","1","0","10","0.5","30","1000","0.09799635701275046","0.20728597449908925","0.1664989939637827"
"18","0.5","10","10","1","0","10","0.5","30","1000","0.09799635701275046","0.20255009107468125","0.17002012072434608"
"20","0.5","10","10","1","0","10","0.5","30","1000","0.10856102003642987","0.19162112932604736","0.2640845070422535"
"23","0.5","10","10","1","0","10","0.5","40","1000","0.12422586520947176","0.23169398907103825","0.23340040241448692"
