"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"Global-Sampling"
"04/12/2020 19:32:40:437 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"5","0.5","0","10","1","0","0","0.5","0","1000","0","0","0"
"9","0.5","0","20","1","0","0","0.5","0","1000","0","0","0"
"3","0.5","20","0","1","0","0","0.5","0","1000","0","0","0"
"2","0.5","10","0","1","0","0","0.5","0","1000","0","0","0"
"10","0.5","10","20","1","0","0","0.5","0","1000","0","0","0"
"6","0.5","10","10","1","0","0","0.5","0","1000","0","0","0"
"7","0.5","20","10","1","0","0","0.5","0","1000","0","0","0"
"11","0.5","20","20","1","0","0","0.5","0","1000","0","0","0"
"4","0.5","30","0","1","0","0","0.5","0","1000","0","0","0"
"12","0.5","30","20","1","0","0","0.5","0","1000","0","0","0"
"8","0.5","30","10","1","0","0","0.5","0","1000","0","0","0"
"1","0.5","0","0","1","0","0","0.5","0","1000","0","0","0"
"13","0.5","0","30","1","0","0","0.5","0","1000","0","0","0"
"14","0.5","10","30","1","0","0","0.5","0","1000","0","0","0"
"17","0.5","0","0","1","6","0","0.5","0","1000","0","0","0"
"21","0.5","0","10","1","6","0","0.5","0","1000","0","0","0"
"15","0.5","20","30","1","0","0","0.5","0","1000","0","0","0"
"19","0.5","20","0","1","6","0","0.5","0","1000","0","0","0"
"16","0.5","30","30","1","0","0","0.5","0","1000","0","0","0"
"18","0.5","10","0","1","6","0","0.5","0","1000","0","0","0"
"22","0.5","10","10","1","6","0","0.5","0","1000","0","0","0"
"20","0.5","30","0","1","6","0","0.5","0","1000","0","0","0"
"23","0.5","20","10","1","6","0","0.5","0","1000","0","0","0"
"24","0.5","30","10","1","6","0","0.5","0","1000","0","0","0"
"25","0.5","0","20","1","6","0","0.5","0","1000","0","0","0"
"26","0.5","10","20","1","6","0","0.5","0","1000","0","0","0"
"29","0.5","0","30","1","6","0","0.5","0","1000","0","0","0"
"27","0.5","20","20","1","6","0","0.5","0","1000","0","0","0"
"33","0.5","0","0","1","12","0","0.5","0","1000","0","0","0"
"28","0.5","30","20","1","6","0","0.5","0","1000","0","0","0"
"30","0.5","10","30","1","6","0","0.5","0","1000","0","0","0"
"31","0.5","20","30","1","6","0","0.5","0","1000","0","0","0"
"34","0.5","10","0","1","12","0","0.5","0","1000","0","0","0"
"32","0.5","30","30","1","6","0","0.5","0","1000","0","0","0"
"35","0.5","20","0","1","12","0","0.5","0","1000","0","0","0"
"36","0.5","30","0","1","12","0","0.5","0","1000","0","0","0"
"37","0.5","0","10","1","12","0","0.5","0","1000","0","0","0"
"38","0.5","10","10","1","12","0","0.5","0","1000","0","0","0"
"39","0.5","20","10","1","12","0","0.5","0","1000","0","0","0"
"41","0.5","0","20","1","12","0","0.5","0","1000","0","0","0"
"40","0.5","30","10","1","12","0","0.5","0","1000","0","0","0"
"42","0.5","10","20","1","12","0","0.5","0","1000","0","0","0"
"43","0.5","20","20","1","12","0","0.5","0","1000","0","0","0"
"44","0.5","30","20","1","12","0","0.5","0","1000","0","0","0"
"45","0.5","0","30","1","12","0","0.5","0","1000","0","0","0"
"46","0.5","10","30","1","12","0","0.5","0","1000","0","0","0"
"47","0.5","20","30","1","12","0","0.5","0","1000","0","0","0"
"49","0.5","0","0","1","18","0","0.5","0","1000","0","0","0"
"48","0.5","30","30","1","12","0","0.5","0","1000","0","0","0"
"50","0.5","10","0","1","18","0","0.5","0","1000","0","0","0"
"51","0.5","20","0","1","18","0","0.5","0","1000","0","0","0"
"53","0.5","0","10","1","18","0","0.5","0","1000","0","0","0"
"52","0.5","30","0","1","18","0","0.5","0","1000","0","0","0"
"54","0.5","10","10","1","18","0","0.5","0","1000","0","0","0"
"55","0.5","20","10","1","18","0","0.5","0","1000","0","0","0"
"57","0.5","0","20","1","18","0","0.5","0","1000","0","0","0"
"56","0.5","30","10","1","18","0","0.5","0","1000","0","0","0"
"58","0.5","10","20","1","18","0","0.5","0","1000","0","0","0"
"59","0.5","20","20","1","18","0","0.5","0","1000","0","0","0"
"60","0.5","30","20","1","18","0","0.5","0","1000","0","0","0"
"61","0.5","0","30","1","18","0","0.5","0","1000","0","0","0"
"62","0.5","10","30","1","18","0","0.5","0","1000","0","0","0"
"65","0.5","0","0","1","24","0","0.5","0","1000","0","0","0"
"63","0.5","20","30","1","18","0","0.5","0","1000","0","0","0"
"66","0.5","10","0","1","24","0","0.5","0","1000","0","0","0"
"64","0.5","30","30","1","18","0","0.5","0","1000","0","0","0"
"67","0.5","20","0","1","24","0","0.5","0","1000","0","0","0"
"69","0.5","0","10","1","24","0","0.5","0","1000","0","0","0"
"68","0.5","30","0","1","24","0","0.5","0","1000","0","0","0"
"70","0.5","10","10","1","24","0","0.5","0","1000","0","0","0"
"71","0.5","20","10","1","24","0","0.5","0","1000","0","0","0"
"72","0.5","30","10","1","24","0","0.5","0","1000","0","0","0"
"73","0.5","0","20","1","24","0","0.5","0","1000","0","0","0"
"74","0.5","10","20","1","24","0","0.5","0","1000","0","0","0"
"75","0.5","20","20","1","24","0","0.5","0","1000","0","0","0"
"77","0.5","0","30","1","24","0","0.5","0","1000","0","0","0"
"76","0.5","30","20","1","24","0","0.5","0","1000","0","0","0"
"78","0.5","10","30","1","24","0","0.5","0","1000","0","0","0"
"79","0.5","20","30","1","24","0","0.5","0","1000","0","0","0"
"80","0.5","30","30","1","24","0","0.5","0","1000","0","0","0"
"81","0.5","0","0","1","30","0","0.5","0","1000","0","0","0"
"82","0.5","10","0","1","30","0","0.5","0","1000","0","0","0"
"83","0.5","20","0","1","30","0","0.5","0","1000","0","0","0"
"84","0.5","30","0","1","30","0","0.5","0","1000","0","0","0"
"86","0.5","10","10","1","30","0","0.5","0","1000","0","0","0"
"85","0.5","0","10","1","30","0","0.5","0","1000","0","0","0"
"89","0.5","0","20","1","30","0","0.5","0","1000","0","0","0"
"87","0.5","20","10","1","30","0","0.5","0","1000","0","0","0"
"88","0.5","30","10","1","30","0","0.5","0","1000","0","0","0"
"90","0.5","10","20","1","30","0","0.5","0","1000","0","0","0"
"91","0.5","20","20","1","30","0","0.5","0","1000","0","0","0"
"93","0.5","0","30","1","30","0","0.5","0","1000","0","0","0"
"92","0.5","30","20","1","30","0","0.5","0","1000","0","0","0"
"94","0.5","10","30","1","30","0","0.5","0","1000","0","0","0"
"95","0.5","20","30","1","30","0","0.5","0","1000","0","0","0"
"96","0.5","30","30","1","30","0","0.5","0","1000","0","0","0"
"97","0.5","0","0","1","0","10","0.5","0","1000","0.054280510018214934","0.17085610200364298","0.05985915492957746"
"99","0.5","20","0","1","0","10","0.5","0","1000","0.03169398907103825","0.14863387978142076","0.02665995975855131"
"100","0.5","30","0","1","0","10","0.5","0","1000","0.025500910746812388","0.10965391621129326","0.018108651911468814"
"101","0.5","0","10","1","0","10","0.5","0","1000","0.08415300546448087","0.2371584699453552","0.15845070422535212"
"98","0.5","10","0","1","0","10","0.5","0","1000","0.03351548269581057","0.1431693989071038","0.039235412474849095"
"103","0.5","20","10","1","0","10","0.5","0","1000","0.07176684881602914","0.16320582877959927","0.0925553319919517"
"105","0.5","0","20","1","0","10","0.5","0","1000","0.0692167577413479","0.23096539162112933","0.176056338028169"
"102","0.5","10","10","1","0","10","0.5","0","1000","0.05573770491803279","0.15992714025500912","0.0920523138832998"
"104","0.5","30","10","1","0","10","0.5","0","1000","0.034972677595628415","0.10236794171220401","0.02464788732394366"
"106","0.5","10","20","1","0","10","0.5","0","1000","0.10309653916211294","0.2214936247723133","0.22283702213279677"
"107","0.5","20","20","1","0","10","0.5","0","1000","0.06812386156648452","0.17959927140255008","0.12525150905432594"
"109","0.5","0","30","1","0","10","0.5","0","1000","0.122040072859745","0.37923497267759565","0.37122736418511065"
"108","0.5","30","20","1","0","10","0.5","0","1000","0.04590163934426229","0.14025500910746813","0.08148893360160966"
"110","0.5","10","30","1","0","10","0.5","0","1000","0.07613843351548269","0.22513661202185792","0.18008048289738432"
"111","0.5","20","30","1","0","10","0.5","0","1000","0.10491803278688525","0.2","0.2062374245472837"
"114","0.5","10","0","1","6","10","0.5","0","1000","0.036794171220400726","0.146448087431694","0.03571428571428571"
"112","0.5","30","30","1","0","10","0.5","0","1000","0.09581056466302368","0.20072859744990892","0.20321931589537223"
"115","0.5","20","0","1","6","10","0.5","0","1000","0.03242258652094718","0.12641165755919853","0.023641851106639838"
"113","0.5","0","0","1","6","10","0.5","0","1000","0.04626593806921676","0.15446265938069217","0.0482897384305835"
"116","0.5","30","0","1","6","10","0.5","0","1000","0.04735883424408015","0.0907103825136612","0.022635814889336015"
"117","0.5","0","10","1","6","10","0.5","0","1000","0.09581056466302368","0.23497267759562843","0.1790744466800805"
"118","0.5","10","10","1","6","10","0.5","0","1000","0.10455373406193079","0.18688524590163935","0.15643863179074446"
"119","0.5","20","10","1","6","10","0.5","0","1000","0.04845173041894353","0.14098360655737704","0.0482897384305835"
"121","0.5","0","20","1","6","10","0.5","0","1000","0.10273224043715846","0.26193078324225866","0.23993963782696176"
"120","0.5","30","10","1","6","10","0.5","0","1000","0.05865209471766849","0.13442622950819672","0.07645875251509054"
"122","0.5","10","20","1","6","10","0.5","0","1000","0.0947176684881603","0.23460837887067396","0.1976861167002012"
"123","0.5","20","20","1","6","10","0.5","0","1000","0.08561020036429873","0.20145719489981784","0.15442655935613683"
"125","0.5","0","30","1","6","10","0.5","0","1000","0.12714025500910747","0.33515482695810567","0.34909456740442657"
"124","0.5","30","20","1","6","10","0.5","0","1000","0.04663023679417122","0.12641165755919853","0.06237424547283702"
"126","0.5","10","30","1","6","10","0.5","0","1000","0.122040072859745","0.2721311475409836","0.2942655935613682"
"129","0.5","0","0","1","12","10","0.5","0","1000","0.04116575591985428","0.1766848816029144","0.05181086519114688"
"128","0.5","30","30","1","6","10","0.5","0","1000","0.07249544626593807","0.1581056466302368","0.11820925553319919"
"130","0.5","10","0","1","12","10","0.5","0","1000","0.04772313296903461","0.17231329690346084","0.0528169014084507"
"127","0.5","20","30","1","6","10","0.5","0","1000","0.07213114754098361","0.19599271402550092","0.1750503018108652"
"131","0.5","20","0","1","12","10","0.5","0","1000","0.029143897996357013","0.12058287795992714","0.02062374245472837"
"133","0.5","0","10","1","12","10","0.5","0","1000","0.08196721311475409","0.18579234972677597","0.158953722334004"
"132","0.5","30","0","1","12","10","0.5","0","1000","0.04298724954462659","0.1111111111111111","0.01609657947686117"
"134","0.5","10","10","1","12","10","0.5","0","1000","0.04918032786885246","0.16648451730418942","0.08450704225352113"
"135","0.5","20","10","1","12","10","0.5","0","1000","0.03788706739526412","0.14061930783242257","0.045774647887323945"
"137","0.5","0","20","1","12","10","0.5","0","1000","0.11293260473588343","0.28888888888888886","0.27364185110663986"
"136","0.5","30","10","1","12","10","0.5","0","1000","0.0575591985428051","0.13187613843351548","0.0658953722334004"
"138","0.5","10","20","1","12","10","0.5","0","1000","0.09799635701275046","0.2495446265938069","0.21780684104627768"
