"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"Vary-Degraders"
"04/12/2020 13:05:46:868 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"5","0.5","0","10","1","15","10","0.5","50","1000","0.14608378870673952","0.2848816029143898","0.301307847082495"
"7","0.5","10","10","1","15","10","0.5","50","1000","0.07030965391621129","0.21238615664845173","0.15643863179074446"
"3","0.5","0","10","1","15","10","0.5","50","1000","0.13916211293260475","0.2772313296903461","0.2992957746478873"
"8","0.5","10","10","1","15","10","0.5","50","1000","0.08306010928961749","0.2018214936247723","0.1720321931589537"
"12","0.5","20","10","1","15","10","0.5","50","1000","0.0947176684881603","0.19854280510018216","0.17002012072434608"
"2","0.5","0","10","1","15","10","0.5","50","1000","0.10236794171220401","0.26885245901639343","0.24849094567404426"
"10","0.5","10","10","1","15","10","0.5","50","1000","0.09216757741347906","0.21202185792349726","0.1891348088531187"
"11","0.5","20","10","1","15","10","0.5","50","1000","0.08998178506375228","0.18324225865209473","0.16398390342052313"
"6","0.5","10","10","1","15","10","0.5","50","1000","0.11256830601092896","0.2520947176684882","0.28621730382293764"
"4","0.5","0","10","1","15","10","0.5","50","1000","0.15081967213114755","0.27140255009107467","0.306841046277666"
"9","0.5","10","10","1","15","10","0.5","50","1000","0.14389799635701275","0.23497267759562843","0.26006036217303824"
"13","0.5","20","10","1","15","10","0.5","50","1000","0.1307832422586521","0.19635701275045536","0.2107645875251509"
"14","0.5","20","10","1","15","10","0.5","50","1000","0.08925318761384335","0.20072859744990892","0.18008048289738432"
"17","0.5","30","10","1","15","10","0.5","50","1000","0.10309653916211294","0.17814207650273223","0.18661971830985916"
"15","0.5","20","10","1","15","10","0.5","50","1000","0.14754098360655737","0.2040072859744991","0.29074446680080485"
"19","0.5","30","10","1","15","10","0.5","50","1000","0.10418943533697632","0.18105646630236794","0.1493963782696177"
"20","0.5","30","10","1","15","10","0.5","50","1000","0.048087431693989074","0.1209471766848816","0.061871227364185113"
"16","0.5","30","10","1","15","10","0.5","50","1000","0.06775956284153005","0.1296903460837887","0.07494969818913481"
"18","0.5","30","10","1","15","10","0.5","50","1000","0.07285974499089254","0.15081967213114755","0.08601609657947686"
"21","0.5","40","10","1","15","10","0.5","50","1000","0.05865209471766849","0.12349726775956284","0.05130784708249497"
"23","0.5","40","10","1","15","10","0.5","50","1000","0.0633879781420765","0.1111111111111111","0.07545271629778671"
"22","0.5","40","10","1","15","10","0.5","50","1000","0.0546448087431694","0.1307832422586521","0.11217303822937626"
"24","0.5","40","10","1","15","10","0.5","50","1000","0.09143897996357013","0.12641165755919853","0.09859154929577464"
"25","0.5","40","10","1","15","10","0.5","50","1000","0.06520947176684881","0.13333333333333333","0.12424547283702213"
"26","0.5","50","10","1","15","10","0.5","50","1000","0.04225865209471767","0.09908925318761384","0.06388329979879276"
"27","0.5","50","10","1","15","10","0.5","50","1000","0.07103825136612021","0.12240437158469945","0.12575452716297786"
"29","0.5","50","10","1","15","10","0.5","50","1000","0.05209471766848816","0.09981785063752277","0.07042253521126761"
"30","0.5","50","10","1","15","10","0.5","50","1000","0.06994535519125683","0.08670309653916211","0.07042253521126761"
"28","0.5","50","10","1","15","10","0.5","50","1000","0.07795992714025501","0.11730418943533698","0.14788732394366197"
"31","0.5","60","10","1","15","10","0.5","50","1000","0.06994535519125683","0.11548269581056467","0.13682092555331993"
"33","0.5","60","10","1","15","10","0.5","50","1000","0.05610200364298725","0.06630236794171221","0.052313883299798795"
"1","0.5","0","10","1","15","10","0.5","50","1000","0.1296903460837887","0.28123861566484515","0.26006036217303824"
"32","0.5","60","10","1","15","10","0.5","50","1000","0.06885245901639345","0.12459016393442623","0.13028169014084506"
"34","0.5","60","10","1","15","10","0.5","50","1000","0.05974499089253188","0.10309653916211294","0.056841046277665994"
"35","0.5","60","10","1","15","10","0.5","50","1000","0.04080145719489982","0.10673952641165756","0.07746478873239436"
"36","0.5","70","10","1","15","10","0.5","50","1000","0.06630236794171221","0.0750455373406193","0.08350100603621731"
"37","0.5","70","10","1","15","10","0.5","50","1000","0.028051001821493626","0.04845173041894353","0.008048289738430584"
"38","0.5","70","10","1","15","10","0.5","50","1000","0.04553734061930783","0.0604735883424408","0.039738430583501"
"39","0.5","70","10","1","15","10","0.5","50","1000","0.05610200364298725","0.07140255009107468","0.07293762575452717"
"40","0.5","70","10","1","15","10","0.5","50","1000","0.041530054644808745","0.06265938069216757","0.014084507042253521"
"41","0.5","80","10","1","15","10","0.5","50","1000","0.05209471766848816","0.06484517304189436","0.07997987927565392"
"42","0.5","80","10","1","15","10","0.5","50","1000","0.034972677595628415","0.06520947176684881","0.01056338028169014"
"43","0.5","80","10","1","15","10","0.5","50","1000","0.03533697632058288","0.04408014571948998","0.014587525150905433"
"45","0.5","80","10","1","15","10","0.5","50","1000","0.03897996357012751","0.06703096539162114","0.0482897384305835"
"46","0.5","90","10","1","15","10","0.5","50","1000","0.05683060109289618","0.048087431693989074","0.07142857142857142"
"47","0.5","90","10","1","15","10","0.5","50","1000","0.0273224043715847","0.03460837887067395","0.006036217303822937"
"48","0.5","90","10","1","15","10","0.5","50","1000","0.03351548269581057","0.03570127504553734","0.02464788732394366"
"49","0.5","90","10","1","15","10","0.5","50","1000","0.03533697632058288","0.05683060109289618","0.03822937625754527"
"50","0.5","90","10","1","15","10","0.5","50","1000","0.03533697632058288","0.03825136612021858","0.008551307847082495"
"51","0.5","100","10","1","15","10","0.5","50","1000","0.033151183970856105","0.03642987249544627","0.006539235412474849"
"52","0.5","100","10","1","15","10","0.5","50","1000","0.02841530054644809","0.033151183970856105","0.022635814889336015"
"53","0.5","100","10","1","15","10","0.5","50","1000","0.030965391621129327","0.03970856102003643","0.025653923541247486"
"54","0.5","100","10","1","15","10","0.5","50","1000","0.02622950819672131","0.03934426229508197","0.01659959758551308"
"55","0.5","100","10","1","15","10","0.5","50","1000","0.02877959927140255","0.040437158469945354","0.026156941649899398"
"44","0.5","80","10","1","15","10","0.5","50","1000","0.05500910746812386","0.07577413479052823","0.09859154929577464"
