"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"Vary-Thy1n"
"04/12/2020 13:03:45:508 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"5","0.5","10","10","1","15","0","0.5","50","1000","0","0","0"
"4","0.5","10","10","1","15","0","0.5","50","1000","0","0","0"
"2","0.5","10","10","1","15","0","0.5","50","1000","0","0","0"
"3","0.5","10","10","1","15","0","0.5","50","1000","0","0","0"
"6","0.5","10","10","1","15","10","0.5","50","1000","0.11584699453551912","0.2546448087431694","0.24748490945674045"
"10","0.5","10","10","1","15","10","0.5","50","1000","0.126775956284153","0.26848816029143896","0.2560362173038229"
"8","0.5","10","10","1","15","10","0.5","50","1000","0.0965391621129326","0.21420765027322405","0.17002012072434608"
"7","0.5","10","10","1","15","10","0.5","50","1000","0.13479052823315119","0.22258652094717668","0.2575452716297787"
"12","0.5","10","10","1","15","20","0.5","50","1000","0.12276867030965391","0.3493624772313297","0.3470824949698189"
"9","0.5","10","10","1","15","10","0.5","50","1000","0.10127504553734062","0.2204007285974499","0.19466800804828974"
"11","0.5","10","10","1","15","20","0.5","50","1000","0.16247723132969036","0.4040072859744991","0.4597585513078471"
"1","0.5","10","10","1","15","0","0.5","50","1000","0","0","0"
"13","0.5","10","10","1","15","20","0.5","50","1000","0.13697632058287795","0.39344262295081966","0.4024144869215292"
"14","0.5","10","10","1","15","20","0.5","50","1000","0.13260473588342442","0.3344262295081967","0.3274647887323944"
"18","0.5","10","10","1","15","30","0.5","50","1000","0.1806921675774135","0.47067395264116574","0.5306841046277666"
"16","0.5","10","10","1","15","30","0.5","50","1000","0.1825136612021858","0.5307832422586521","0.6131790744466801"
"17","0.5","10","10","1","15","30","0.5","50","1000","0.16247723132969036","0.47540983606557374","0.5377263581488934"
"15","0.5","10","10","1","15","20","0.5","50","1000","0.17340619307832422","0.39526411657559196","0.4693158953722334"
"20","0.5","10","10","1","15","30","0.5","50","1000","0.18105646630236794","0.5103825136612021","0.5945674044265593"
"21","0.5","10","10","1","15","40","0.5","50","1000","0.16357012750455374","0.6524590163934426","0.755533199195171"
"19","0.5","10","10","1","15","30","0.5","50","1000","0.16174863387978142","0.4925318761384335","0.5477867203219315"
