"BehaviorSpace results (NetLogo 6.1.1)"
"Pulmonary_Histology.nlogo"
"Vary-Thy1p"
"04/12/2020 13:01:25:846 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-22","22"
"[run number]","collagen-degradation","degrader-count","thy1ps-count","n-collagen-deposition","AS-entry-threshold","thy1ns-count","p-collagen-deposition","AS-entry-random","[step]","count patches with [pcolor = 128] / count patches","count patches with [pcolor = 125] / count patches","count patches with [tissue-type = ""alveolar-space"" and pcolor != white] / count patches with [tissue-type = ""alveolar-space""]"
"4","0.5","10","0","1","15","10","0.5","50","1000","0.08087431693989071","0.17522768670309655","0.11116700201207244"
"3","0.5","10","0","1","15","10","0.5","50","1000","0.12131147540983607","0.17486338797814208","0.15543259557344064"
"2","0.5","10","0","1","15","10","0.5","50","1000","0.10018214936247723","0.1766848816029144","0.13933601609657947"
"8","0.5","10","10","1","15","10","0.5","50","1000","0.10382513661202186","0.2568306010928962","0.22736418511066397"
"6","0.5","10","10","1","15","10","0.5","50","1000","0.10127504553734062","0.21821493624772315","0.22032193158953722"
"5","0.5","10","0","1","15","10","0.5","50","1000","0.09872495446265939","0.1581056466302368","0.12072434607645875"
"10","0.5","10","10","1","15","10","0.5","50","1000","0.13624772313296904","0.21311475409836064","0.23189134808853118"
"7","0.5","10","10","1","15","10","0.5","50","1000","0.13624772313296904","0.23387978142076501","0.28169014084507044"
"11","0.5","10","20","1","15","10","0.5","50","1000","0.12932604735883424","0.30309653916211293","0.33702213279678067"
"9","0.5","10","10","1","15","10","0.5","50","1000","0.13989071038251366","0.24408014571949","0.26509054325955733"
"12","0.5","10","20","1","15","10","0.5","50","1000","0.12641165755919853","0.32131147540983607","0.3284708249496982"
"14","0.5","10","20","1","15","10","0.5","50","1000","0.11730418943533698","0.28051001821493626","0.29527162977867205"
"13","0.5","10","20","1","15","10","0.5","50","1000","0.11657559198542805","0.22076502732240438","0.30885311871227367"
"15","0.5","10","20","1","15","10","0.5","50","1000","0.14353369763205828","0.24990892531876138","0.24949698189134809"
"16","0.5","10","30","1","15","10","0.5","50","1000","0.12058287795992714","0.346448087431694","0.3737424547283702"
"19","0.5","10","30","1","15","10","0.5","50","1000","0.14171220400728599","0.32823315118397084","0.358148893360161"
"17","0.5","10","30","1","15","10","0.5","50","1000","0.14025500910746813","0.37304189435336976","0.42203219315895374"
"18","0.5","10","30","1","15","10","0.5","50","1000","0.12276867030965391","0.3271402550091075","0.3501006036217304"
"20","0.5","10","30","1","15","10","0.5","50","1000","0.13879781420765028","0.3318761384335155","0.3873239436619718"
"21","0.5","10","40","1","15","10","0.5","50","1000","0.16612021857923498","0.4302367941712204","0.5643863179074446"
"22","0.5","10","40","1","15","10","0.5","50","1000","0.16247723132969036","0.39344262295081966","0.4708249496981891"
"23","0.5","10","40","1","15","10","0.5","50","1000","0.1610200364298725","0.45428051001821496","0.5528169014084507"
"25","0.5","10","40","1","15","10","0.5","50","1000","0.15555555555555556","0.3785063752276867","0.4552313883299799"
"24","0.5","10","40","1","15","10","0.5","50","1000","0.1657559198542805","0.4586520947176685","0.5669014084507042"
"27","0.5","10","50","1","15","10","0.5","50","1000","0.15045537340619308","0.4444444444444444","0.5528169014084507"
"26","0.5","10","50","1","15","10","0.5","50","1000","0.12932604735883424","0.39489981785063755","0.46378269617706236"
"28","0.5","10","50","1","15","10","0.5","50","1000","0.14280510018214937","0.4673952641165756","0.5372233400402414"
"29","0.5","10","50","1","15","10","0.5","50","1000","0.11876138433515483","0.4568306010928962","0.5186116700201208"
"31","0.5","10","60","1","15","10","0.5","50","1000","0.11657559198542805","0.43169398907103823","0.4607645875251509"
"30","0.5","10","50","1","15","10","0.5","50","1000","0.14025500910746813","0.44517304189435336","0.5276659959758552"
"32","0.5","10","60","1","15","10","0.5","50","1000","0.12896174863387977","0.429143897996357","0.5040241448692153"
"34","0.5","10","60","1","15","10","0.5","50","1000","0.13224043715846995","0.5471766848816029","0.6428571428571429"
"33","0.5","10","60","1","15","10","0.5","50","1000","0.15373406193078323","0.5402550091074682","0.6564386317907445"
"1","0.5","10","0","1","15","10","0.5","50","1000","0.08670309653916211","0.16320582877959927","0.13883299798792756"
"35","0.5","10","60","1","15","10","0.5","50","1000","0.1151183970856102","0.5471766848816029","0.6001006036217303"
"36","0.5","10","70","1","15","10","0.5","50","1000","0.10127504553734062","0.51183970856102","0.5331991951710262"
"37","0.5","10","70","1","15","10","0.5","50","1000","0.11147540983606558","0.5814207650273224","0.6483903420523138"
"38","0.5","10","70","1","15","10","0.5","50","1000","0.1052823315118397","0.5588342440801457","0.6116700201207244"
"39","0.5","10","70","1","15","10","0.5","50","1000","0.13734061930783242","0.5752276867030965","0.676056338028169"
"40","0.5","10","70","1","15","10","0.5","50","1000","0.13005464480874318","0.5555555555555556","0.6126760563380281"
